ticker,w,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Exchange
EDR,-0.00692183900598131,Education Realty Trust Inc.,40.77,$2.98B,NA,Consumer Services,Real Estate Investment Trusts,NYSE
STBZ,-0.0071048894102605,State Bank Financial Corporation.,26.34,$1.03B,NA,Finance,Major Banks,NASDAQ
SGEN,-0.0107075298023814,"Seattle Genetics, Inc.",65.34,$9.32B,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
DRQ,-0.011461741802736,"Dril-Quip, Inc.",51.6,$1.94B,NA,Energy,Metal Fabrications,NYSE
MSGN,-0.0121297049183822,MSG Networks Inc.,24.4,$1.83B,NA,Consumer Services,Television Services,NYSE
FWONK,-0.0127132010752463,Liberty Media Corporation,34.64,$6.99B,NA,Consumer Services,Broadcasting,NASDAQ
AJG,-0.0131854875486045,Arthur J. Gallagher & Co.,55.61,$9.98B,NA,Finance,Specialty Insurers,NYSE
CPRT,-0.0135262237607501,"Copart, Inc.",30.24,$27.78B,NA,Consumer Durables,Automotive Aftermarket,NASDAQ
HCN,-0.0156434049384317,Welltower Inc.,73.68,$26.76B,NA,Consumer Services,Real Estate Investment Trusts,NYSE
YRD,-0.0162183661650889,Yirendai Ltd.,23.63,$1.38B,NA,Finance,Finance: Consumer Services,NYSE
SCHL,-0.0164878038501563,Scholastic Corporation,43.75,$1.52B,NA,Consumer Services,Books,NASDAQ
BWA,-0.0167308508615931,BorgWarner Inc.,39.51,$8.41B,NA,Capital Goods,Auto Parts:O.E.M.,NYSE
MPWR,-0.0169038355060672,"Monolithic Power Systems, Inc.",93.37,$3.84B,NA,Technology,Semiconductors,NASDAQ
HDS,-0.0170857762991996,"HD Supply Holdings, Inc.",39.92,$8.05B,NA,Consumer Services,Office Equipment/Supplies/Services,NASDAQ
WMB,-0.0176035541149276,"Williams Companies, Inc. (The)",30.01,$24.79B,NA,Public Utilities,Natural Gas Distribution,NYSE
TCP,-0.0176756469983593,"TC PipeLines, LP",59.59,$4.19B,NA,Public Utilities,Natural Gas Distribution,NYSE
PNW,-0.0198735812488102,Pinnacle West Capital Corporation,85.83,$9.57B,NA,Public Utilities,Electric Utilities: Central,NYSE
NTRI,-0.0218600552331991,NutriSystem Inc,55.5,$1.66B,NA,Consumer Services,Catalog/Specialty Distribution,NASDAQ
AL,-0.02370195212315,Air Lease Corporation,36.81,$3.79B,NA,Technology,Diversified Commercial Services,NYSE
URBN,-0.0237154220401232,"Urban Outfitters, Inc.",23.24,$2.7B,NA,Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ
PTC,-0.023812341448342,PTC Inc.,51.93,$6.01B,NA,Technology,Computer Software: Prepackaged Software,NASDAQ
CVE,-0.0238578677309043,Cenovus Energy Inc,10.49,$10.71B,NA,Energy,Oil & Gas Production,NYSE
CHT,-0.0261184415610224,"Chunghwa Telecom Co., Ltd.",33.91,$26.31B,NA,Public Utilities,Telecommunications Equipment,NYSE
FLOW,-0.028346781151098,"SPX FLOW, Inc.",35.46,$1.5B,NA,Technology,Industrial Machinery/Components,NYSE
ALE,-0.0288964376353735,"Allete, Inc.",70.38,$3.58B,NA,Public Utilities,Power Generation,NYSE
FIT,-0.0322751143068875,"Fitbit, Inc.",5.61,$1.28B,NA,Technology,Computer Manufacturing,NYSE
CHRW,-0.032586701518075,"C.H. Robinson Worldwide, Inc.",76.54,$10.85B,NA,Transportation,Oil Refining/Marketing,NASDAQ
VVV,-0.032917334890987,Valvoline Inc.,22.61,$4.62B,NA,Basic Industries,Major Chemicals,NYSE
GWW,-0.036545986562865,"W.W. Grainger, Inc.",195.15,$11.4B,NA,Consumer Services,Office Equipment/Supplies/Services,NYSE
IX,-0.0397510521439174,Orix Corp Ads,78.22,$20.71B,NA,Finance,Diversified Financial Services,NYSE
GXP,-0.0420539108610629,Great Plains Energy Inc,29.54,$6.36B,NA,Public Utilities,Electric Utilities: Central,NYSE
MHK,-0.0426455203450166,"Mohawk Industries, Inc.",234.93,$17.46B,NA,Consumer Durables,Home Furnishings,NYSE
HTZ,-0.0438569158818342,"Hertz Global Holdings, Inc",15.64,$1.31B,NA,Consumer Services,Rental/Leasing Companies,NYSE
BAK,-0.0494383722765551,Braskem S.A.,20.2,$8.05B,NA,Basic Industries,Major Chemicals,NYSE
APOG,-0.0514981346030439,"Apogee Enterprises, Inc.",52.2,$1.5B,NA,Capital Goods,Auto Parts:O.E.M.,NASDAQ
FCX,-0.0542245283896503,"Freeport-McMoran, Inc.",12.23,$17.68B,NA,Basic Industries,Precious Metals,NYSE
DIN,-0.0631951409247741,"DineEquity, Inc",56.39,$1.01B,NA,Consumer Services,Restaurants,NYSE
